position,sku,make,model,part_name,category,oem_number,oem_status,catalog_page,image_path,landing_page
114,PGE-FET-114,Fette,2090i,METERING WHEEL W/FLAT RODS - STAINLESS,Product Control,Needed,needed,26,/assets/images/parts/fette/pge-fet-114.png,/parts/pge-fet-114/
115,PGE-FET-115,Fette,2090i,REVERSE DOSING WHEEL W/ FLAT RODS - STAINLESS,Product Control,Needed,needed,26,/assets/images/parts/fette/pge-fet-115.png,/parts/pge-fet-115/
116,PGE-FET-116,Fette,2090i,DOSING WHEEL WITH ROUND RODS,Product Control,Needed,needed,26,/assets/images/parts/fette/pge-fet-116.png,/parts/pge-fet-116/
117,PGE-FET-117,Fette,2090i,PUNCH RESTRAINER O-RING 400X8,Turret Hardware,3761205,catalog-supplied,26,/assets/images/parts/fette/pge-fet-117.png,/parts/pge-fet-117/
118,PGE-FET-118,Fette,2090i,PUNCH GUIDE SEAL - 1”,Turret Hardware,2214624,catalog-supplied,26,/assets/images/parts/fette/pge-fet-118.png,/parts/pge-fet-118/
119,PGE-FET-119,Fette,2090i,PUNCH GUIDE SEAL - 3/4”/19MM,Turret Hardware,2147667,catalog-supplied,26,/assets/images/parts/fette/pge-fet-119.png,/parts/pge-fet-119/
120,PGE-FET-120,Fette,2090i,PUNCH GUIDE SEAL - 3/4”/19MM-FDA,Turret Hardware,2147667,catalog-supplied,26,/assets/images/parts/fette/pge-fet-120.png,/parts/pge-fet-120/
121,PGE-FET-121,Fette,2090i,SOCKET HEAD SET SCREW,Turret Hardware,Needed,needed,26,/assets/images/parts/fette/pge-fet-121.png,/parts/pge-fet-121/
122,PGE-FET-122,Fette,2090i,PUNCH RESTRAINER 19,Turret Hardware,3772705,catalog-supplied,26,/assets/images/parts/fette/pge-fet-122.png,/parts/pge-fet-122/
123,PGE-FET-123,Fette,2090i,29 STATION TURRET ASSEMBLY*,Turrets,Needed,needed,26,/assets/images/parts/fette/pge-fet-123.png,/parts/pge-fet-123/
